0	1	2
17	+	7655236
5	+	119206834
3	+	170083365
5	+	115912089
10	+	32725351
21	+	45863665
9	+	35300166
14	+	88833693
11	+	123578410
15	+	66508709
5	+	14464508
2	+	39587016
13	+	112866147
20	+	18473242
7	+	92043282
1	-	1832482
3	+	37507421
7	-	148836869
5	+	73060129
7	-	51156488
1	+	10344252
4	+	113313684
15	+	90916611
22	+	31860686
4	+	20554308
8	-	132660617
6	+	154863743
1	+	43583082
1	+	43608324
13	+	113090068
10	-	45463875
1	+	29307129
20	+	36205849
8	+	131988690
7	+	79469432
2	+	68161215
9	+	33268837
6	+	75846968
4	+	127664741
9	+	35395192
4	+	15561588
11	+	59795602
19	+	32380609
X	+	9888969
18	+	8252488
18	+	36608728
11	+	103241527
3	+	97791953
1	+	10355370
9	+	35371934
9	+	37188339
4	+	20490803
8	+	32749561
17	+	59672948
13	+	94310538
18	+	22969596
1	+	178470693
11	+	47280160
9	+	35291069
14	+	77710555
17	+	57107826
14	+	37265207
11	+	13352816
4	+	56927615
9	+	284375
13	+	20628021
20	+	38534385
6	+	33442453
10	+	125992683
1	+	6091263
10	-	60508625
4	+	20573234
19	+	1496591
6	-	152168281
5	+	114490691
15	+	42673925
4	+	62063505
19	+	37346423
10	+	93057906
2	+	27435723
6	+	25576976
20	-	63951002
2	+	135167693
16	-	1559928
7	+	2659940
7	+	129388810
9	+	128102080
16	+	2705135
17	+	59646017
11	-	75598937
X	-	31733112
6	+	147328699
8	+	99584022
14	+	104879438
2	+	25111072
3	+	172308735
4	+	15576604
1	+	81989657
14	+	58494455
X	+	50088413
12	-	63622347
20	+	36200873
9	+	19337601
7	-	44225891
19	+	577774
21	+	43940205
1	+	10344090
2	+	209703987
1	+	10273014
21	-	41896241
12	+	93470486
11	+	73655803
13	+	37003495
2	+	154443043
4	-	15989389
